Uniprot_id,PathGO_id,PathGO_name
P0C0J0,PATHGO:0000100,mediates resistance to complement system in another organism
P0C0J0,PATHGO:0000251,mediates dissemination in another organism
P42782,PATHGO:0000257,mediates immunoglobulin neutralization in another organism
P44969,PATHGO:0000257,mediates immunoglobulin neutralization in another organism
A0A1L1QJU3,PATHGO:0000165,disrupts cellular signaling in another organism
A1Z651,PATHGO:0000114,mechanism of pathogenicity
A1Z651,PATHGO:0000164,disrupts cellular metabolism in another organism
A1Z651,PATHGO:0000110,mediates secretion of protein effectors
A3EXA0,PATHGO:0000114,mechanism of pathogenicity
A3EXA0,PATHGO:0000166,disrupts cellular structure in another organism
A3EXA0,PATHGO:0000029,mediates membrane damage of another organism
A7RMN1,PATHGO:0000114,mechanism of pathogenicity
A7X4T8,PATHGO:0000167,disrupts cellular transport in another organism
A7X4T8,PATHGO:0000114,mechanism of pathogenicity
G1UB63,PATHGO:0000066,mediates iron acquisition from host
G1UB63,PATHGO:0000114,mechanism of pathogenicity
L0PQJ9,PATHGO:0000271,mediates resistance to oxidative killing in another organism
L0PQJ9,PATHGO:0000085,mediates immune evasion and subversion in another organism
L0PQJ9,PATHGO:0000016,modulates immune function in another organism
L0PQJ9,PATHGO:0000114,mechanism of pathogenicity
O06662,PATHGO:0000006,modulates protein synthesis in another organism
O06662,PATHGO:0000164,disrupts cellular metabolism in another organism
O06662,PATHGO:0000114,mechanism of pathogenicity
O22415,PATHGO:0000030,mediates ribosome inactivation in another organism
O22415,PATHGO:0000006,modulates protein synthesis in another organism
O22415,PATHGO:0000164,disrupts cellular metabolism in another organism
O22415,PATHGO:0000114,mechanism of pathogenicity
O52248,PATHGO:0000110,mediates secretion of protein effectors
O52248,PATHGO:0000114,mechanism of pathogenicity
B8XH01,PATHGO:0000164,disrupts cellular metabolism in another organism
B8XH01,PATHGO:0000114,mechanism of pathogenicity
F5HG98,PATHGO:0000334,suppresses apoptosis in another organism
F5HG98,PATHGO:0000332,modulates apoptosis in another organism
F5HG98,PATHGO:0000114,mechanism of pathogenicity
P0C6V6,PATHGO:0000220,suppresses inflammatory cytokine release in another organism
P0C6V6,PATHGO:0000085,mediates immune evasion and subversion in another organism
P0C6V6,PATHGO:0000016,modulates immune function in another organism
P0C6V6,PATHGO:0000114,mechanism of pathogenicity
P0CG44,PATHGO:0000033,mediates pore formation in another organism
P0CG44,PATHGO:0000029,mediates membrane damage of another organism
P0CG44,PATHGO:0000166,disrupts cellular structure in another organism
P0CG44,PATHGO:0000114,mechanism of pathogenicity
O68703,PATHGO:0000028,modulates cytoskeleton dynamics in another organism
O68703,PATHGO:0000166,disrupts cellular structure in another organism
O68703,PATHGO:0000114,mechanism of pathogenicity
O88093,PATHGO:0000114,mechanism of pathogenicity
P0A0L8,PATHGO:0000010,mediates non-specific T-cell activation in another organism
P0A0L8,PATHGO:0000031,mediates non-productive immune system activation in another organism
P0A0L8,PATHGO:0000085,mediates immune evasion and subversion in another organism
P0A0L8,PATHGO:0000016,modulates immune function in another organism
P0A0L8,PATHGO:0000114,mechanism of pathogenicity
A0MD28,PATHGO:0000165,disrupts cellular signaling in another organism
A0MD28,PATHGO:0000114,mechanism of pathogenicity
A0MD28,PATHGO:0000295,suppresses NF-kappaB signaling in another organism
A0MD28,PATHGO:0000294,modulates host NF-kappaB signaling in another organism
A0MD28,PATHGO:0000325,modulates ubiquitin dynamics in another organism
A0MD28,PATHGO:0000164,disrupts cellular metabolism in another organism
A0MD28,PATHGO:0000085,mediates immune evasion and subversion in another organism
A0MD28,PATHGO:0000016,modulates immune function in another organism
O68703,PATHGO:0000328,modulates small GTPase activity in another organism
O68703,PATHGO:0000165,disrupts cellular signaling in another organism
O89110,PATHGO:0000114,mechanism of pathogenicity
